UserEmail,Role,Action,Module,IPAddress,Status,CreatedAt
test.student.eee.4@kathir.edu,student,SEARCH_PERFORMED,Search,152.6.53.233,success,2026-02-06T22:17:27.444Z
test.student.mech.4@kathir.edu,student,PROFILE_UPDATED,Profile,23.39.221.152,failed,2026-04-24T22:05:33.361Z
test.student.cse.10@kathir.edu,student,LOGIN,Auth,149.131.205.227,success,2026-02-05T02:13:31.285Z
test.faculty.aids.1@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,92.249.185.67,success,2026-06-05T17:59:44.172Z
test.faculty.mech.5@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,57.245.133.47,success,2026-02-24T22:20:37.031Z
test.student.civil.6@kathir.edu,student,LOGIN,Auth,93.201.76.89,failed,2026-06-21T17:57:39.440Z
test.admin.2026@kathir.edu,admin,CONVERSATION_CREATED,Messaging,95.84.16.29,success,2026-06-13T19:08:54.683Z
test.student.ece.4@kathir.edu,student,MESSAGE_SENT,Messaging,59.56.114.119,success,2026-06-21T14:57:47.748Z
test.student.cse.10@kathir.edu,student,PASSWORD_CHANGED,Auth,103.139.107.57,success,2026-01-31T00:49:51.468Z
test.student.civil.8@kathir.edu,student,QUERY_CREATED,HelpDesk,220.174.57.100,success,2026-06-01T12:31:22.146Z
test.student.eee.7@kathir.edu,student,PROFILE_UPDATED,Profile,173.56.96.216,failed,2026-06-01T11:54:37.619Z
test.student.mech.9@kathir.edu,student,PASSWORD_CHANGED,Auth,91.101.37.7,success,2026-04-02T05:47:39.453Z
test.faculty.cse.3@kathir.edu,faculty,EXPORT_REPORT,Reports,36.53.214.47,failed,2026-03-19T22:44:39.209Z
test.faculty.aids.2@kathir.edu,faculty,PASSWORD_CHANGED,Auth,48.172.128.31,success,2026-04-10T08:35:09.279Z
test.student.mech.6@kathir.edu,student,PROFILE_UPDATED,Profile,246.137.26.114,success,2026-03-21T20:03:43.312Z
test.faculty.aids.2@kathir.edu,faculty,PASSWORD_CHANGED,Auth,244.166.101.37,success,2026-05-27T06:09:16.123Z
test.student.mech.5@kathir.edu,student,PASSWORD_CHANGED,Auth,224.47.28.4,success,2026-06-17T14:08:40.910Z
test.student.mech.1@kathir.edu,student,LOGOUT,Auth,55.193.199.164,success,2026-06-04T05:51:50.748Z
test.student.aids.1@kathir.edu,student,QUERY_CREATED,HelpDesk,15.233.8.46,success,2026-01-07T00:04:34.891Z
test.faculty.ece.4@kathir.edu,faculty,MESSAGE_SENT,Messaging,65.98.222.72,failed,2026-02-09T05:27:15.697Z
test.faculty.eee.2@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,224.191.82.199,success,2026-06-25T18:47:53.975Z
test.faculty.eee.5@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,207.8.159.102,success,2026-03-20T08:01:34.687Z
test.student.aids.2@kathir.edu,student,PASSWORD_CHANGED,Auth,14.171.93.85,success,2026-04-01T15:21:41.037Z
test.student.eee.4@kathir.edu,student,SEARCH_PERFORMED,Search,44.133.91.26,success,2026-04-29T23:57:06.404Z
test.student.aids.1@kathir.edu,student,SEARCH_PERFORMED,Search,51.71.150.178,success,2026-05-07T17:47:56.712Z
test.student.civil.1@kathir.edu,student,PASSWORD_CHANGED,Auth,22.2.195.175,success,2026-04-04T18:02:24.075Z
test.student.eee.5@kathir.edu,student,LOGIN,Auth,206.22.206.170,failed,2026-06-28T02:01:36.734Z
test.student.aids.6@kathir.edu,student,QUERY_CREATED,HelpDesk,251.39.39.181,success,2026-01-24T02:31:22.886Z
test.student.civil.2@kathir.edu,student,CONVERSATION_CREATED,Messaging,74.144.43.100,failed,2026-04-09T07:47:19.342Z
test.student.ece.9@kathir.edu,student,PROFILE_UPDATED,Profile,186.1.115.212,success,2026-01-29T18:13:57.629Z
test.faculty.eee.2@kathir.edu,faculty,LOGOUT,Auth,239.144.222.212,success,2026-01-05T20:42:15.844Z
test.student.aids.2@kathir.edu,student,LOGOUT,Auth,72.20.80.215,success,2026-02-02T17:36:52.202Z
test.student.ece.5@kathir.edu,student,SEARCH_PERFORMED,Search,143.233.246.191,success,2026-03-14T13:21:24.583Z
test.student.ece.7@kathir.edu,student,SEARCH_PERFORMED,Search,174.96.177.252,failed,2026-06-24T01:27:42.239Z
test.student.aids.6@kathir.edu,student,PROFILE_UPDATED,Profile,223.35.3.143,success,2026-01-16T06:50:32.103Z
test.student.ece.3@kathir.edu,student,QUERY_CREATED,HelpDesk,156.213.52.22,success,2026-01-30T03:16:43.094Z
test.faculty.civil.5@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,197.97.183.1,success,2026-03-02T22:10:24.617Z
test.faculty.mech.1@kathir.edu,faculty,QUERY_RESOLVED,HelpDesk,245.103.12.206,success,2026-06-25T20:01:11.118Z
test.student.civil.2@kathir.edu,student,CONVERSATION_CREATED,Messaging,101.7.20.202,success,2026-01-14T22:48:35.415Z
test.student.civil.3@kathir.edu,student,MESSAGE_SENT,Messaging,41.76.248.135,success,2026-05-11T20:23:19.600Z
test.student.aids.7@kathir.edu,student,LOGOUT,Auth,45.2.212.197,failed,2026-02-27T12:10:48.063Z
test.student.cse.9@kathir.edu,student,LOGOUT,Auth,51.64.70.235,success,2026-04-27T19:28:05.772Z
test.faculty.aids.1@kathir.edu,faculty,PROFILE_UPDATED,Profile,167.101.27.199,success,2026-04-04T07:48:28.776Z
test.student.mech.7@kathir.edu,student,PASSWORD_CHANGED,Auth,48.250.130.216,success,2026-01-20T06:29:03.916Z
test.faculty.civil.1@kathir.edu,faculty,ATTENDANCE_UPDATED,Attendance,132.139.42.206,success,2026-05-15T20:26:26.961Z
test.faculty.ece.3@kathir.edu,faculty,QUERY_RESOLVED,HelpDesk,122.184.6.138,success,2026-04-30T00:27:33.024Z
test.faculty.eee.1@kathir.edu,faculty,LOGOUT,Auth,162.76.165.235,failed,2026-02-10T23:54:04.787Z
test.student.eee.8@kathir.edu,student,QUERY_CREATED,HelpDesk,104.24.84.92,failed,2026-02-23T18:33:18.779Z
test.student.ece.3@kathir.edu,student,CONVERSATION_CREATED,Messaging,202.17.37.117,success,2026-06-06T22:52:17.391Z
test.student.ece.8@kathir.edu,student,PASSWORD_CHANGED,Auth,144.196.212.209,failed,2026-01-30T19:01:55.511Z
test.faculty.cse.3@kathir.edu,faculty,ATTENDANCE_UPDATED,Attendance,98.228.252.70,failed,2026-03-20T23:59:32.945Z
test.student.cse.10@kathir.edu,student,PASSWORD_CHANGED,Auth,173.98.191.108,success,2026-01-26T00:07:47.039Z
test.student.ece.7@kathir.edu,student,SEARCH_PERFORMED,Search,38.163.42.128,success,2026-04-25T20:08:52.536Z
test.student.mech.10@kathir.edu,student,LOGOUT,Auth,49.40.112.246,success,2026-01-09T00:19:42.723Z
test.student.eee.1@kathir.edu,student,CONVERSATION_CREATED,Messaging,84.169.79.235,success,2026-05-25T11:06:37.854Z
test.faculty.cse.2@kathir.edu,faculty,ATTENDANCE_MARKED,Attendance,27.249.106.169,failed,2026-02-10T09:22:03.714Z
test.faculty.eee.3@kathir.edu,faculty,MESSAGE_SENT,Messaging,124.105.22.111,success,2026-06-06T14:20:43.673Z
test.student.aids.5@kathir.edu,student,PROFILE_UPDATED,Profile,15.249.189.148,success,2026-04-23T11:41:33.443Z
test.student.cse.1@kathir.edu,student,SEARCH_PERFORMED,Search,0.77.162.131,success,2026-02-24T17:23:02.510Z
test.faculty.eee.2@kathir.edu,faculty,ATTENDANCE_MARKED,Attendance,16.124.33.173,success,2026-05-11T15:43:29.265Z
test.student.eee.6@kathir.edu,student,PROFILE_UPDATED,Profile,147.211.118.128,success,2026-06-26T22:14:24.352Z
test.faculty.civil.5@kathir.edu,faculty,EXPORT_REPORT,Reports,246.67.197.184,failed,2026-01-23T17:11:31.080Z
test.student.civil.4@kathir.edu,student,LOGIN,Auth,240.47.46.57,success,2026-05-29T19:04:56.516Z
test.student.civil.4@kathir.edu,student,PROFILE_UPDATED,Profile,71.55.31.123,success,2026-04-11T07:07:36.002Z
test.student.aids.2@kathir.edu,student,CONVERSATION_CREATED,Messaging,100.155.109.149,success,2026-06-10T03:48:56.000Z
test.faculty.aids.2@kathir.edu,faculty,MARKS_UPDATED,Academics,111.245.40.54,success,2026-05-09T00:43:31.720Z
test.student.aids.4@kathir.edu,student,MESSAGE_SENT,Messaging,34.32.213.123,success,2026-04-15T14:40:10.234Z
test.student.mech.3@kathir.edu,student,MESSAGE_SENT,Messaging,129.125.75.1,failed,2026-02-01T01:49:50.948Z
test.student.cse.4@kathir.edu,student,SEARCH_PERFORMED,Search,190.103.142.164,success,2026-04-28T14:39:32.064Z
test.faculty.eee.3@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,223.156.90.37,failed,2026-06-01T12:48:48.029Z
test.student.mech.8@kathir.edu,student,SEARCH_PERFORMED,Search,36.69.219.149,success,2026-05-27T20:39:43.480Z
test.faculty.cse.3@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,129.239.174.15,success,2026-02-19T09:48:24.248Z
test.student.civil.4@kathir.edu,student,PASSWORD_CHANGED,Auth,204.224.125.110,success,2026-03-04T01:16:49.392Z
test.faculty.eee.3@kathir.edu,faculty,PASSWORD_CHANGED,Auth,43.145.92.232,failed,2026-05-21T15:24:42.890Z
test.student.civil.2@kathir.edu,student,QUERY_CREATED,HelpDesk,145.33.45.247,success,2026-02-17T00:45:22.042Z
test.student.mech.3@kathir.edu,student,PROFILE_UPDATED,Profile,57.199.28.140,failed,2026-05-05T05:11:08.864Z
test.student.cse.5@kathir.edu,student,LOGIN,Auth,234.66.131.95,success,2026-01-07T18:44:36.171Z
test.student.eee.9@kathir.edu,student,MESSAGE_SENT,Messaging,194.115.36.82,success,2026-04-18T10:15:11.769Z
test.student.eee.6@kathir.edu,student,CONVERSATION_CREATED,Messaging,181.79.195.56,success,2026-03-05T15:57:54.568Z
test.student.aids.1@kathir.edu,student,PASSWORD_CHANGED,Auth,9.132.63.48,success,2026-02-02T16:33:10.291Z
test.faculty.aids.2@kathir.edu,faculty,LOGOUT,Auth,250.13.61.91,success,2026-05-19T01:53:07.148Z
test.student.civil.6@kathir.edu,student,PASSWORD_CHANGED,Auth,145.149.199.210,success,2026-04-15T05:45:57.986Z
test.student.cse.7@kathir.edu,student,MESSAGE_SENT,Messaging,248.88.201.34,success,2026-04-19T21:34:34.770Z
test.faculty.eee.3@kathir.edu,faculty,MARKS_UPDATED,Academics,210.8.49.100,success,2026-06-02T01:00:23.528Z
test.student.ece.7@kathir.edu,student,LOGOUT,Auth,2.146.33.19,success,2026-03-05T20:33:20.190Z
test.student.ece.8@kathir.edu,student,MESSAGE_SENT,Messaging,135.210.246.42,success,2026-05-10T23:27:53.232Z
test.student.aids.1@kathir.edu,student,LOGIN,Auth,146.138.216.213,success,2026-01-10T00:18:45.410Z
test.student.ece.8@kathir.edu,student,LOGIN,Auth,36.171.152.64,success,2026-04-15T20:00:39.432Z
test.student.ece.5@kathir.edu,student,PROFILE_UPDATED,Profile,211.31.141.231,success,2026-04-16T23:19:05.968Z
test.student.mech.4@kathir.edu,student,MESSAGE_SENT,Messaging,43.41.65.9,success,2026-06-06T12:14:11.653Z
test.student.mech.4@kathir.edu,student,MESSAGE_SENT,Messaging,122.83.124.213,success,2026-04-02T20:01:34.660Z
test.student.ece.5@kathir.edu,student,CONVERSATION_CREATED,Messaging,121.207.160.50,failed,2026-06-01T21:23:32.132Z
test.student.aids.10@kathir.edu,student,MESSAGE_SENT,Messaging,40.92.166.164,success,2026-05-15T07:16:53.898Z
test.student.cse.5@kathir.edu,student,LOGOUT,Auth,5.244.152.2,success,2026-03-19T11:53:28.042Z
test.student.civil.8@kathir.edu,student,CONVERSATION_CREATED,Messaging,219.228.201.150,success,2026-01-14T15:02:27.745Z
test.student.mech.8@kathir.edu,student,LOGOUT,Auth,195.115.253.75,success,2026-06-24T15:59:24.832Z
test.student.civil.9@kathir.edu,student,MESSAGE_SENT,Messaging,69.84.44.213,failed,2026-05-19T12:08:42.464Z
test.faculty.aids.4@kathir.edu,faculty,MESSAGE_SENT,Messaging,180.141.16.169,success,2026-04-04T21:59:55.819Z
test.student.aids.7@kathir.edu,student,PASSWORD_CHANGED,Auth,158.43.80.166,failed,2026-06-21T07:45:54.210Z
test.faculty.aids.2@kathir.edu,faculty,MESSAGE_SENT,Messaging,59.232.249.123,success,2026-05-18T16:36:46.181Z
test.student.ece.2@kathir.edu,student,CONVERSATION_CREATED,Messaging,67.12.111.62,failed,2026-04-08T04:57:40.066Z
test.faculty.ece.2@kathir.edu,faculty,MARKS_UPLOADED,Academics,153.20.66.38,success,2026-04-28T23:39:15.249Z
test.student.ece.8@kathir.edu,student,PASSWORD_CHANGED,Auth,64.174.31.89,success,2026-05-10T23:21:35.760Z
test.student.mech.1@kathir.edu,student,QUERY_CREATED,HelpDesk,32.169.56.121,success,2026-02-10T23:22:04.075Z
test.faculty.civil.5@kathir.edu,faculty,PROFILE_UPDATED,Profile,102.36.181.231,success,2026-01-16T11:29:41.961Z
test.student.aids.2@kathir.edu,student,QUERY_CREATED,HelpDesk,183.215.240.75,success,2026-05-06T07:28:15.664Z
test.faculty.ece.3@kathir.edu,faculty,EXPORT_REPORT,Reports,55.65.104.213,success,2026-01-09T03:42:21.168Z
test.student.eee.3@kathir.edu,student,PROFILE_UPDATED,Profile,139.149.80.24,success,2026-01-29T03:01:21.273Z
test.faculty.ece.1@kathir.edu,faculty,ATTENDANCE_UPDATED,Attendance,9.24.143.194,success,2026-06-28T07:58:39.211Z
test.student.mech.2@kathir.edu,student,MESSAGE_SENT,Messaging,114.21.75.226,success,2026-06-09T20:08:23.366Z
test.faculty.eee.1@kathir.edu,faculty,MARKS_UPLOADED,Academics,227.139.97.0,success,2026-06-11T23:56:33.727Z
test.student.cse.9@kathir.edu,student,LOGIN,Auth,115.14.19.12,success,2026-03-17T00:22:38.102Z
test.student.aids.9@kathir.edu,student,PROFILE_UPDATED,Profile,51.240.94.211,success,2026-04-07T18:05:29.389Z
test.student.aids.5@kathir.edu,student,SEARCH_PERFORMED,Search,146.249.75.110,success,2026-05-24T12:23:19.025Z
test.student.eee.7@kathir.edu,student,CONVERSATION_CREATED,Messaging,156.41.230.196,success,2026-04-29T13:59:56.384Z
test.faculty.civil.5@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,159.152.95.52,success,2026-02-06T00:04:49.599Z
test.faculty.ece.5@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,198.173.43.89,success,2026-03-31T12:48:34.698Z
test.student.cse.3@kathir.edu,student,PROFILE_UPDATED,Profile,216.254.55.41,success,2026-02-28T06:39:51.516Z
test.faculty.eee.5@kathir.edu,faculty,ACHIEVEMENT_ADDED,Achievements,8.181.244.115,success,2026-04-21T22:22:07.814Z
test.student.ece.6@kathir.edu,student,LOGIN,Auth,2.159.76.87,success,2026-03-27T14:55:23.052Z
test.student.civil.2@kathir.edu,student,LOGOUT,Auth,83.123.45.100,success,2026-01-03T10:35:33.644Z
test.faculty.mech.2@kathir.edu,faculty,QUERY_RESOLVED,HelpDesk,237.75.36.142,failed,2026-05-22T08:45:25.506Z
test.student.aids.8@kathir.edu,student,PASSWORD_CHANGED,Auth,37.120.168.79,success,2026-02-28T05:15:17.944Z
test.student.cse.7@kathir.edu,student,PASSWORD_CHANGED,Auth,240.5.125.135,success,2026-06-15T13:08:44.125Z
test.faculty.cse.1@kathir.edu,faculty,LOGIN,Auth,162.219.236.195,success,2026-04-20T21:49:07.767Z
test.student.ece.5@kathir.edu,student,MESSAGE_SENT,Messaging,134.203.230.252,failed,2026-01-30T21:10:14.957Z
test.student.eee.5@kathir.edu,student,MESSAGE_SENT,Messaging,150.19.120.22,failed,2026-04-18T08:06:15.429Z
test.student.ece.10@kathir.edu,student,LOGOUT,Auth,95.55.132.50,success,2026-04-13T01:30:26.075Z
test.student.eee.5@kathir.edu,student,CONVERSATION_CREATED,Messaging,25.232.188.171,failed,2026-06-30T18:54:35.580Z
test.faculty.cse.1@kathir.edu,faculty,LOGIN,Auth,226.100.78.44,success,2026-01-23T00:20:30.274Z
test.student.eee.8@kathir.edu,student,PROFILE_UPDATED,Profile,163.41.82.96,success,2026-05-28T00:31:02.970Z
test.student.mech.2@kathir.edu,student,SEARCH_PERFORMED,Search,140.241.66.156,failed,2026-01-29T08:58:35.745Z
test.student.civil.3@kathir.edu,student,SEARCH_PERFORMED,Search,36.41.4.141,success,2026-04-13T16:05:48.517Z
test.student.eee.5@kathir.edu,student,SEARCH_PERFORMED,Search,115.95.205.53,success,2026-06-24T22:02:20.851Z
test.student.cse.4@kathir.edu,student,SEARCH_PERFORMED,Search,132.72.102.193,success,2026-04-21T17:54:29.209Z
test.student.aids.4@kathir.edu,student,QUERY_CREATED,HelpDesk,5.158.103.150,failed,2026-02-21T03:05:51.225Z
test.student.aids.10@kathir.edu,student,PROFILE_UPDATED,Profile,60.71.7.29,success,2026-05-31T07:34:02.837Z
test.student.aids.2@kathir.edu,student,SEARCH_PERFORMED,Search,193.1.107.45,failed,2026-05-07T17:09:03.256Z
test.faculty.eee.4@kathir.edu,faculty,MARKS_UPDATED,Academics,78.124.14.56,failed,2026-03-27T08:17:44.349Z
test.student.ece.5@kathir.edu,student,PASSWORD_CHANGED,Auth,171.250.53.65,success,2026-03-25T19:27:42.490Z
test.student.aids.5@kathir.edu,student,CONVERSATION_CREATED,Messaging,234.184.187.187,success,2026-01-08T13:55:06.149Z
test.student.aids.6@kathir.edu,student,PROFILE_UPDATED,Profile,230.4.25.248,success,2026-02-23T02:57:47.692Z
test.student.mech.3@kathir.edu,student,PASSWORD_CHANGED,Auth,152.197.12.173,success,2026-02-19T18:29:34.730Z
test.faculty.cse.3@kathir.edu,faculty,LOGOUT,Auth,126.240.239.196,success,2026-01-16T15:17:10.398Z
test.faculty.mech.4@kathir.edu,faculty,LOGIN,Auth,172.16.95.6,success,2026-02-09T02:28:00.581Z
test.student.cse.4@kathir.edu,student,SEARCH_PERFORMED,Search,226.6.121.115,failed,2026-05-03T16:54:11.888Z
test.faculty.mech.1@kathir.edu,faculty,LOGOUT,Auth,229.6.130.70,failed,2026-02-28T22:51:38.538Z
test.student.mech.3@kathir.edu,student,QUERY_CREATED,HelpDesk,197.205.98.63,failed,2026-05-10T10:53:54.235Z
test.student.eee.2@kathir.edu,student,SEARCH_PERFORMED,Search,166.243.38.131,failed,2026-04-27T21:00:38.308Z
test.student.mech.6@kathir.edu,student,PASSWORD_CHANGED,Auth,8.130.68.23,success,2026-05-13T01:53:45.223Z
test.student.eee.9@kathir.edu,student,LOGOUT,Auth,224.196.29.98,failed,2026-01-29T20:48:51.151Z
test.student.mech.6@kathir.edu,student,QUERY_CREATED,HelpDesk,170.13.165.100,success,2026-01-29T16:49:38.939Z
test.faculty.civil.1@kathir.edu,faculty,ATTENDANCE_MARKED,Attendance,244.227.82.59,success,2026-01-30T22:10:37.666Z
test.student.cse.1@kathir.edu,student,PROFILE_UPDATED,Profile,221.20.49.198,success,2026-04-06T22:53:49.944Z
test.faculty.ece.4@kathir.edu,faculty,SEARCH_PERFORMED,Search,184.114.96.193,success,2026-05-02T02:24:48.966Z
test.student.eee.3@kathir.edu,student,CONVERSATION_CREATED,Messaging,140.39.97.44,success,2026-06-20T08:47:19.071Z
test.faculty.mech.5@kathir.edu,faculty,LOGIN,Auth,253.159.108.174,success,2026-01-26T19:22:10.225Z
test.student.civil.9@kathir.edu,student,PASSWORD_CHANGED,Auth,99.98.73.232,success,2026-05-05T03:38:54.498Z
test.student.cse.4@kathir.edu,student,LOGOUT,Auth,68.57.66.17,success,2026-02-18T18:08:35.060Z
test.faculty.civil.5@kathir.edu,faculty,LOGOUT,Auth,149.176.189.22,success,2026-02-01T14:38:02.028Z
test.student.mech.2@kathir.edu,student,QUERY_CREATED,HelpDesk,70.173.177.223,success,2026-06-09T16:28:36.990Z
test.faculty.ece.2@kathir.edu,faculty,LOGOUT,Auth,32.165.1.96,success,2026-03-08T17:29:37.919Z
test.faculty.mech.4@kathir.edu,faculty,ATTENDANCE_MARKED,Attendance,70.10.99.162,success,2026-01-14T11:28:14.310Z
test.student.mech.3@kathir.edu,student,LOGIN,Auth,25.172.25.223,success,2026-03-03T10:19:01.978Z
test.student.mech.3@kathir.edu,student,PASSWORD_CHANGED,Auth,96.160.70.24,failed,2026-03-25T19:56:21.379Z
test.faculty.aids.1@kathir.edu,faculty,QUERY_RESOLVED,HelpDesk,176.226.94.87,failed,2026-02-02T23:46:46.734Z
test.student.eee.2@kathir.edu,student,LOGIN,Auth,228.68.134.7,success,2026-02-01T11:45:37.330Z
test.faculty.mech.2@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,16.62.45.253,success,2026-02-22T08:15:11.992Z
test.faculty.ece.2@kathir.edu,faculty,QUERY_RESOLVED,HelpDesk,211.144.175.121,failed,2026-04-12T22:53:15.762Z
test.student.ece.10@kathir.edu,student,MESSAGE_SENT,Messaging,233.116.42.41,failed,2026-01-31T06:08:50.981Z
test.student.ece.8@kathir.edu,student,MESSAGE_SENT,Messaging,69.173.53.227,failed,2026-02-14T14:01:40.881Z
test.student.mech.4@kathir.edu,student,MESSAGE_SENT,Messaging,225.105.129.95,success,2026-06-22T15:16:42.061Z
test.student.aids.1@kathir.edu,student,LOGIN,Auth,100.111.197.124,success,2026-05-28T07:03:38.191Z
test.student.ece.9@kathir.edu,student,QUERY_CREATED,HelpDesk,155.242.32.128,failed,2026-04-12T22:56:52.518Z
test.student.ece.3@kathir.edu,student,CONVERSATION_CREATED,Messaging,95.123.248.108,success,2026-01-18T00:15:20.481Z
test.faculty.eee.2@kathir.edu,faculty,ATTENDANCE_UPDATED,Attendance,199.8.200.52,success,2026-04-20T15:21:40.588Z
test.student.eee.7@kathir.edu,student,CONVERSATION_CREATED,Messaging,8.16.5.182,failed,2026-05-04T01:46:30.671Z
test.student.cse.3@kathir.edu,student,PROFILE_UPDATED,Profile,158.208.58.122,failed,2026-01-12T02:21:30.243Z
test.faculty.civil.5@kathir.edu,faculty,LOGIN,Auth,135.175.229.53,success,2026-06-11T05:46:31.580Z
test.student.cse.7@kathir.edu,student,CONVERSATION_CREATED,Messaging,21.172.21.33,success,2026-03-25T07:53:30.423Z
test.faculty.eee.1@kathir.edu,faculty,MESSAGE_SENT,Messaging,148.43.68.58,success,2026-02-26T19:37:32.741Z
test.student.cse.3@kathir.edu,student,PASSWORD_CHANGED,Auth,11.245.46.19,success,2026-06-27T15:23:21.982Z
test.faculty.cse.1@kathir.edu,faculty,MARKS_UPDATED,Academics,24.27.165.47,failed,2026-01-25T06:00:05.965Z
test.faculty.cse.3@kathir.edu,faculty,SEARCH_PERFORMED,Search,35.64.54.151,success,2026-03-16T22:13:10.654Z
test.student.aids.4@kathir.edu,student,PASSWORD_CHANGED,Auth,213.104.106.254,success,2026-05-24T01:30:37.157Z
test.student.eee.4@kathir.edu,student,PROFILE_UPDATED,Profile,35.192.223.128,success,2026-06-11T13:23:04.172Z
test.faculty.civil.4@kathir.edu,faculty,LOGIN,Auth,2.134.157.115,success,2026-02-19T22:20:19.558Z
test.student.mech.9@kathir.edu,student,LOGIN,Auth,11.92.40.97,success,2026-04-13T05:40:03.859Z
test.faculty.eee.5@kathir.edu,faculty,PROFILE_UPDATED,Profile,70.128.100.150,success,2026-02-22T21:11:15.847Z
test.faculty.ece.2@kathir.edu,faculty,CONVERSATION_CREATED,Messaging,25.132.159.201,success,2026-02-27T04:07:13.444Z
test.student.aids.1@kathir.edu,student,QUERY_CREATED,HelpDesk,157.236.224.40,success,2026-02-02T10:35:02.626Z
test.student.cse.2@kathir.edu,student,PASSWORD_CHANGED,Auth,112.129.254.130,success,2026-02-03T22:11:10.220Z
test.faculty.cse.2@kathir.edu,faculty,MARKS_UPLOADED,Academics,74.235.131.106,success,2026-04-04T23:56:29.243Z
test.faculty.eee.5@kathir.edu,faculty,LOGIN,Auth,160.56.102.37,success,2026-01-16T03:49:27.499Z
test.student.civil.1@kathir.edu,student,LOGOUT,Auth,41.31.3.168,success,2026-01-03T06:58:37.825Z
